"vid","attributes"
"101001615","{""funds_manager.background"":""张坤，男，中国籍，16年证券从业经历，理学硕士。曾任易方达基金管理有限公司行业研究员、基金经理助理，研究部总经理助理。现任易方达基金管理有限公司副总经理级高级管理人员、权益投资决策委员会委员。自2012年9月28日至2021年9月10日，担任易方达中小盘混合型证券投资基金的基金经理、自2014年4月8日起，担任易方达亚洲精选股票型证券投资基金的基金经理、自2015年11月7日至2021年2月11日，担任易方达新丝路灵活配置混合型证券投资基金的基金经理。自2018年9月5日起，担任易方达蓝筹精选混合型证券投资基金的基金经理。自2020年6月17日起，担任易方达优质企业三年持有期混合型证券投资基金的基金经理。自2021年9月10日起，担任易方达优质精选混合型证券投资基金的基金经理。"",""funds_manager.chinesename"":""张坤"",""funds_manager.company"":""NULL"",""funds_manager.etl_timestamp"":1727372934,""funds_manager.experiencetime"":""16.2"",""funds_manager.keywords"":""NULL"",""funds_manager.personalcode"":""101001615""}"
"F118001","{""funds_outside.acc_fans"":""NULL"",""funds_outside.annual_return_base"":0.0068,""funds_outside.briefintro"":""本基金的发售已获中国证监会证监许可[2008]1064号和[2009]367号文核准。本基金自2009年12月7日至2010年1月15日通过基金管理人指定的销售机构（包括直销和代销机构）公开发售。本基金管理人为易方达基金管理有限公司，托管人为中国工商银行股份有限公司。"",""funds_outside.establish_date"":""2010-01-21"",""funds_outside.etl_timestamp"":1727384919,""funds_outside.fifth_classification"":"""",""funds_outside.fourth_classification"":"""",""funds_outside.fproperty"":""QDII"",""funds_outside.fund_2_type"":""qdii基金"",""funds_outside.fund_code"":""118001"",""funds_outside.fund_full_name"":""易方达亚洲精选股票型证券投资基金"",""funds_outside.fund_name"":""易方达亚洲精选"",""funds_outside.fund_type"":""qdii"",""funds_outside.hot_value"":5039,""funds_outside.is_30d_buy_back_0_rate"":false,""funds_outside.is_taurus_fund"":false,""funds_outside.keywords"":""NULL"",""funds_outside.max_draw_down_base"":57.06,""funds_outside.nav_grw_base"":0.1,""funds_outside.nav_grw_p1y"":-9.09090909,""funds_outside.nav_grw_p2y"":-7.82122905,""funds_outside.nav_grw_p3y"":-29.24901186,""funds_outside.nav_grw_r1m"":-0.9891,""funds_outside.nav_grw_r1w"":5.1471,""funds_outside.nav_grw_r1y"":7.2883,""funds_outside.nav_grw_r3m"":-6.2734,""funds_outside.nav_grw_r3y"":-13.1076,""funds_outside.nav_grw_r5y"":9.7588,""funds_outside.nav_grw_td"":-0.0998,""funds_outside.nav_grw_ty"":11.2222,""funds_outside.primary_classification"":""主动"",""funds_outside.rating_star"":""NULL"",""funds_outside.risk_eva_level"":4,""funds_outside.secondary_classification"":""主动偏股"",""funds_outside.symbol"":""F118001"",""funds_outside.symbol_type"":""23"",""funds_outside.third_classification"":"""",""funds_outside.totshare"":45.6649,""funds_outside.trustee_name"":""中国工商银行股份有限公司"",""funds_outside.unit_nav"":1.001}"
"F110011","{""funds_outside.acc_fans"":""NULL"",""funds_outside.annual_return_base"":12.3777,""funds_outside.briefintro"":""本基金由易方达中小盘混合型证券投资基金基金转型而来。自2021年9月10日《易方达优质精选混合型证券投资基金基金合同》生效，《易方达中小盘混合型证券投资基金基金合同》同时失效。基金管理人：易方达基金管理有限公司，基金托管人：中国银行股份有限公司，注册登记机构：易方达基金管理有限公司，境外托管人：中国银行（香港）有限公司。"",""funds_outside.establish_date"":""2008-06-19"",""funds_outside.etl_timestamp"":1727384919,""funds_outside.fifth_classification"":"""",""funds_outside.fourth_classification"":"""",""funds_outside.fproperty"":""QDII"",""funds_outside.fund_2_type"":""qdii基金"",""funds_outside.fund_code"":""110011"",""funds_outside.fund_full_name"":""易方达优质精选混合型证券投资基金"",""funds_outside.fund_name"":""易方达优质精选混合（QDII）"",""funds_outside.fund_type"":""qdii"",""funds_outside.hot_value"":7964,""funds_outside.is_30d_buy_back_0_rate"":false,""funds_outside.is_taurus_fund"":true,""funds_outside.keywords"":""NULL"",""funds_outside.max_draw_down_base"":57.08,""funds_outside.nav_grw_base"":568.6279,""funds_outside.nav_grw_p1y"":-21.52731308,""funds_outside.nav_grw_p2y"":-14.4200014,""funds_outside.nav_grw_p3y"":-13.49560309,""funds_outside.nav_grw_r1m"":8.903,""funds_outside.nav_grw_r1w"":12.9299,""funds_outside.nav_grw_r1y"":-11.9307,""funds_outside.nav_grw_r3m"":2.0577,""funds_outside.nav_grw_r3y"":-31.6248,""funds_outside.nav_grw_r5y"":11.1361,""funds_outside.nav_grw_td"":6.6413,""funds_outside.nav_grw_ty"":-0.1456,""funds_outside.primary_classification"":""主动"",""funds_outside.rating_star"":""NULL"",""funds_outside.risk_eva_level"":4,""funds_outside.secondary_classification"":""主动偏股"",""funds_outside.symbol"":""F110011"",""funds_outside.symbol_type"":""23"",""funds_outside.third_classification"":"""",""funds_outside.totshare"":136.1495,""funds_outside.trustee_name"":""中国银行股份有限公司"",""funds_outside.unit_nav"":4.8011}"
"F005827","{""funds_outside.acc_fans"":""NULL"",""funds_outside.annual_return_base"":9.2467,""funds_outside.briefintro"":""本基金根据中国证监会（证监许可[2018]532号）进行募集。本基金将自2018年8月6日至2018年8月31日通过基金管理人指定的销售机构公开发售。本基金的基金管理人：易方达基金管理有限公司；基金托管人：中国银行股份有限公司；注册登记机构：易方达基金管理有限公司。"",""funds_outside.establish_date"":""2018-09-05"",""funds_outside.etl_timestamp"":1727384919,""funds_outside.fifth_classification"":"""",""funds_outside.fourth_classification"":""大盘-成长"",""funds_outside.fproperty"":""偏股型基金"",""funds_outside.fund_2_type"":""偏股混合型基金"",""funds_outside.fund_code"":""005827"",""funds_outside.fund_full_name"":""易方达蓝筹精选混合型证券投资基金"",""funds_outside.fund_name"":""易方达蓝筹精选混合"",""funds_outside.fund_type"":""混合型"",""funds_outside.hot_value"":19530,""funds_outside.is_30d_buy_back_0_rate"":false,""funds_outside.is_taurus_fund"":false,""funds_outside.keywords"":""NULL"",""funds_outside.max_draw_down_base"":57.91,""funds_outside.nav_grw_base"":70.95,""funds_outside.nav_grw_p1y"":-20.98588951,""funds_outside.nav_grw_p2y"":-16.02710552,""funds_outside.nav_grw_p3y"":-9.89497924,""funds_outside.nav_grw_r1m"":8.7537,""funds_outside.nav_grw_r1w"":12.6747,""funds_outside.nav_grw_r1y"":-13.3641,""funds_outside.nav_grw_r3m"":-0.3846,""funds_outside.nav_grw_r3y"":-30.5251,""funds_outside.nav_grw_r5y"":22.1246,""funds_outside.nav_grw_td"":6.6771,""funds_outside.nav_grw_ty"":-0.2334,""funds_outside.primary_classification"":""主动"",""funds_outside.rating_star"":""NULL"",""funds_outside.risk_eva_level"":4,""funds_outside.secondary_classification"":""主动偏股"",""funds_outside.symbol"":""F005827"",""funds_outside.symbol_type"":""23"",""funds_outside.third_classification"":""风格"",""funds_outside.totshare"":390.3624,""funds_outside.trustee_name"":""中国银行股份有限公司"",""funds_outside.unit_nav"":1.7095}"
